PopName,Area,Sex,Year,YearReg,RefCode,Access,Births,NoteCode1,NoteCode2,NoteCode3,LDB
RUS,1,m,1986,1986,9,O,1273213,10,.,.,1
RUS,1,f,1986,1986,9,O,1212702,10,.,.,1
RUS,1,m,1987,1987,9,O,1283425,10,.,.,1
RUS,1,f,1987,1987,9,O,1216549,10,.,.,1
RUS,1,m,1988,1988,9,O,1204907,10,.,.,1
RUS,1,f,1988,1988,9,O,1143587,10,.,.,1
RUS,1,m,1989,1989,9,O,1110602,10,.,.,1
RUS,1,f,1989,1989,9,O,1049957,10,.,.,1
RUS,1,m,1990,1990,9,O,1021248,10,.,.,1
RUS,1,f,1990,1990,9,O,967610,10,.,.,1
RUS,1,m,1991,1991,9,O,923319,10,.,.,1
RUS,1,f,1991,1991,9,O,871307,10,.,.,1
RUS,1,m,1992,1992,9,O,816757,10,.,.,1
RUS,1,f,1992,1992,9,O,770887,10,.,.,1
RUS,11,m,1993,1993,9,O,708689,10,.,.,1
RUS,11,f,1993,1993,9,O,670294,10,.,.,1
RUS,11,m,1994,1994,9,O,724818,10,.,.,1
RUS,11,f,1994,1994,9,O,683341,10,.,.,1
RUS,12,m,1995,1995,9,O,700191,10,.,.,1
RUS,12,f,1995,1995,9,O,663615,10,.,.,1
RUS,12,m,1996,1996,9,O,671430,10,.,.,1
RUS,12,f,1996,1996,9,O,633208,10,.,.,1
RUS,12,m,1997,1997,9,O,648195,10,.,.,1
RUS,12,f,1997,1997,9,O,611748,10,.,.,1
RUS,12,m,1998,1998,9,O,660842,10,.,.,1
RUS,12,f,1998,1998,9,O,622450,10,.,.,1
RUS,12,m,1999,1999,9,O,626149,10,.,.,1
RUS,12,f,1999,1999,9,O,588540,10,.,.,1
RUS,12,f,2000,2000,10,O,613654,10,.,.,1
RUS,12,m,2000,2000,10,O,653146,10,.,.,1
RUS,12,f,2001,2001,10,O,635854,10,.,.,1
RUS,12,m,2001,2001,10,O,675750,10,.,.,1
RUS,12,f,2002,2002,20,O,677456,10,.,.,1
RUS,12,m,2002,2002,20,O,719511,10,.,.,1
RUS,1,m,2003,2003,20,O,760934,10,.,.,1
RUS,1,f,2003,2003,20,O,716367,10,.,.,1
RUS,1,m,2004,2004,20,O,772973,11,.,.,1
RUS,1,f,2004,2004,20,O,729504,11,.,.,1
RUS,1,m,2005,2005,20,O,749554,11,.,.,1
RUS,1,f,2005,2005,20,O,707822,11,.,.,1
RUS,1,f,2006,2006,29,O,718806,11,.,.,1
RUS,1,m,2006,2006,29,O,760831,11,.,.,1
RUS,1,f,2007,2007,29,O,781350,11,.,.,1
RUS,1,m,2007,2007,29,O,828772,11,.,.,1
RUS,1,f,2008,2008,32,O,833404,11,.,.,1
RUS,1,m,2008,2008,32,O,880543,11,.,.,1
RUS,1,f,2009,2009,37,O,856307,11,.,.,1
RUS,1,m,2009,2009,37,O,905380,11,.,.,1
RUS,1,f,2010,2010,40,O,869309,11,.,.,1
RUS,1,m,2010,2010,40,O,919639,11,.,.,1
RUS,1,f,2011,2011,41,O,872825,11,.,.,1
RUS,1,f,2012,2012,41,O,923557,11,.,.,1
RUS,1,f,2013,2013,41,O,921519,11,.,.,1
RUS,1,f,2014,2014,41,O,943004,11,.,.,1
RUS,1,m,2011,2011,41,O,923804,11,.,.,1
RUS,1,m,2012,2012,41,O,978527,11,.,.,1
RUS,1,m,2013,2013,41,O,974303,11,.,.,1
RUS,1,m,2014,2014,41,O,999679,11,.,.,1
USA,02,f,1933,1933,3,O,1122180,11,.,.,1
USA,02,m,1933,1933,3,O,1184820,11,.,.,1
USA,02,f,1934,1934,3,O,1166072,11,.,.,1
USA,02,m,1934,1934,3,O,1229928,11,.,.,1
USA,02,f,1935,1935,75,O,1158000,10,.,.,1
USA,02,m,1935,1935,75,O,1219000,10,.,.,1
USA,02,f,1936,1936,23,O,1148000,10,.,.,1
USA,02,m,1936,1936,23,O,1207000,10,.,.,1
USA,02,f,1937,1937,23,O,1175000,10,.,.,1
USA,02,m,1937,1937,23,O,1238000,10,.,.,1
USA,02,f,1938,1938,23,O,1217000,10,.,.,1
USA,02,m,1938,1938,23,O,1280000,10,.,.,1
USA,02,f,1939,1939,23,O,1201000,10,.,.,1
USA,02,m,1939,1939,23,O,1265000,10,.,.,1
USA,02,f,1940,1940,75,O,1246000,10,.,.,1
USA,02,m,1940,1940,75,O,1313000,10,.,.,1
USA,02,f,1941,1941,75,O,1316000,10,.,.,1
USA,02,m,1941,1941,75,O,1387000,10,.,.,1
USA,02,f,1942,1942,75,O,1452000,10,.,.,1
USA,02,m,1942,1942,75,O,1537000,10,.,.,1
USA,02,f,1943,1943,75,O,1510000,10,.,.,1
USA,02,m,1943,1943,75,O,1593000,10,.,.,1
USA,02,f,1944,1944,75,O,1430000,10,.,.,1
USA,02,m,1944,1944,75,O,1509000,10,.,.,1
USA,02,f,1945,1945,75,O,1391000,10,.,.,1
USA,02,m,1945,1945,75,O,1467000,10,.,.,1
USA,02,f,1946,1946,75,O,1657000,10,.,.,1
USA,02,m,1946,1946,75,O,1754000,10,.,.,1
USA,02,f,1947,1947,75,O,1857000,10,.,.,1
USA,02,m,1947,1947,75,O,1960000,10,.,.,1
USA,02,f,1948,1948,75,O,1771000,10,.,.,1
USA,02,m,1948,1948,75,O,1866000,10,.,.,1
USA,02,f,1949,1949,75,O,1777000,10,.,.,1
USA,02,m,1949,1949,75,O,1872000,10,.,.,1
USA,02,f,1950,1950,75,O,1768000,10,.,.,1
USA,02,m,1950,1950,75,O,1863000,10,.,.,1
USA,02,f,1951,1951,75,O,1863000,10,.,.,1
USA,02,m,1951,1951,75,O,1960000,10,.,.,1
USA,02,f,1952,1952,75,O,1908000,10,.,.,1
USA,02,m,1952,1952,75,O,2005000,10,.,.,1
USA,02,f,1953,1953,75,O,1931000,10,.,.,1
USA,02,m,1953,1953,75,O,2034000,10,.,.,1
USA,02,f,1954,1954,75,O,1988000,10,.,.,1
USA,02,m,1954,1954,75,O,2090000,10,.,.,1
USA,02,f,1955,1955,75,O,2001000,10,.,.,1
USA,02,m,1955,1955,75,O,2103000,10,.,.,1
USA,02,f,1956,1956,75,O,2056000,10,.,.,1
USA,02,m,1956,1956,75,O,2162000,10,.,.,1
USA,02,f,1957,1957,75,O,2101000,10,.,.,1
USA,02,m,1957,1957,75,O,2207000,10,.,.,1
USA,02,f,1958,1958,75,O,2076000,10,.,.,1
USA,02,m,1958,1958,75,O,2179000,10,.,.,1
USA,01,f,1959,1959,75,O,2104312,8,.,.,1
USA,01,m,1959,1959,75,O,2207788,8,.,.,1
USA,01,f,1960,1960,87,O,2078142,.,.,.,1
USA,01,m,1960,1960,87,O,2179708,.,.,.,1
USA,01,f,1961,1961,91,O,2082052,.,.,.,1
USA,01,m,1961,1961,91,O,2186274,.,.,.,1
USA,01,f,1962,1962,95,O,2034896,.,.,.,1
USA,01,m,1962,1962,95,O,2132466,.,.,.,1
USA,01,f,1963,1963,99,O,1996388,.,.,.,1
USA,01,m,1963,1963,99,O,2101632,.,.,.,1
USA,01,f,1964,1964,103,O,1967328,.,.,.,1
USA,01,m,1964,1964,103,O,2060162,.,.,.,1
USA,01,f,1965,1965,107,O,1833304,.,.,.,1
USA,01,m,1965,1965,107,O,1927054,.,.,.,1
USA,01,f,1966,1966,111,O,1760412,.,.,.,1
USA,01,m,1966,1966,111,O,1845862,.,.,.,1
USA,01,f,1967,1967,115,O,1717571,9,.,.,1
USA,01,m,1967,1967,115,O,1803388,9,.,.,1
USA,01,f,1968,1968,121,O,1705238,.,.,.,1
USA,01,m,1968,1968,121,O,1796326,.,.,.,1
USA,01,f,1969,1969,127,O,1753634,.,.,.,1
USA,01,m,1969,1969,127,O,1846572,.,.,.,1
USA,01,f,1970,1970,131,O,1816008,.,.,.,1
USA,01,m,1970,1970,131,O,1915378,.,.,.,1
USA,01,f,1971,1971,135,O,1733060,.,.,.,1
USA,01,m,1971,1971,135,O,1822910,.,.,.,1
USA,01,f,1972,1972,139,O,1588484,.,.,.,1
USA,01,m,1972,1972,139,O,1669927,.,.,.,1
USA,01,f,1973,1973,143,O,1528639,.,.,.,1
USA,01,m,1973,1973,143,O,1608326,.,.,.,1
USA,01,f,1974,1974,147,O,1537844,.,.,.,1
USA,01,m,1974,1974,147,O,1622114,.,.,.,1
USA,01,f,1975,1975,151,O,1531063,.,.,.,1
USA,01,m,1975,1975,151,O,1613135,.,.,.,1
USA,01,f,1976,1976,155,O,1543352,.,.,.,1
USA,01,m,1976,1976,155,O,1624436,.,.,.,1
USA,01,f,1977,1977,159,O,1620716,.,.,.,1
USA,01,m,1977,1977,159,O,1705916,.,.,.,1
USA,01,f,1978,1978,163,O,1623885,.,.,.,1
USA,01,m,1978,1978,163,O,1709394,.,.,.,1
USA,01,f,1979,1979,167,O,1703131,.,.,.,1
USA,01,m,1979,1979,167,O,1791267,.,.,.,1
USA,01,f,1980,1980,173,O,1759642,.,.,.,1
USA,01,m,1980,1980,173,O,1852616,.,.,.,1
USA,01,f,1981,1981,177,O,1768966,.,.,.,1
USA,01,m,1981,1981,177,O,1860272,.,.,.,1
USA,01,f,1982,1982,181,O,1794861,.,.,.,1
USA,01,m,1982,1982,181,O,1885676,.,.,.,1
USA,01,f,1983,1983,185,O,1773380,.,.,.,1
USA,01,m,1983,1983,185,O,1865553,.,.,.,1
USA,01,f,1984,1984,189,O,1789651,.,.,.,1
USA,01,m,1984,1984,189,O,1879490,.,.,.,1
USA,01,f,1985,1985,193,O,1832578,.,.,.,1
USA,01,m,1985,1985,193,O,1927983,.,.,.,1
USA,01,f,1986,1986,197,O,1831679,.,.,.,1
USA,01,m,1986,1986,197,O,1924868,.,.,.,1
USA,01,f,1987,1987,201,O,1858241,.,.,.,1
USA,01,m,1987,1987,201,O,1951153,.,.,.,1
USA,01,f,1988,1988,205,O,1907086,.,.,.,1
USA,01,m,1988,1988,205,O,2002424,.,.,.,1
USA,01,f,1989,1989,209,O,1971468,.,.,.,1
USA,01,m,1989,1989,209,O,2069490,.,.,.,1
USA,01,f,1990,1990,211,O,2028717,.,.,.,1
USA,01,m,1990,1990,211,O,2129495,.,.,.,1
USA,01,f,1991,1991,213,O,2009389,.,.,.,1
USA,01,m,1991,1991,213,O,2101518,.,.,.,1
USA,01,f,1992,1992,215,O,1982917,.,.,.,1
USA,01,m,1992,1992,215,O,2082097,.,.,.,1
USA,01,f,1993,1993,217,O,1951379,.,.,.,1
USA,01,m,1993,1993,217,O,2048861,.,.,.,1
USA,01,f,1994,1994,219,O,1930178,.,.,.,1
USA,01,m,1994,1994,219,O,2022589,.,.,.,1
USA,01,f,1995,1995,221,O,1903234,.,.,.,1
USA,01,m,1995,1995,221,O,1996355,.,.,.,1
USA,01,f,1996,1996,223,O,1901014,.,.,.,1
USA,01,m,1996,1996,223,O,1990480,.,.,.,1
USA,01,f,1997,1997,225,O,1895298,.,.,.,1
USA,01,m,1997,1997,225,O,1985596,.,.,.,1
USA,01,f,1998,1998,227,O,1925348,.,.,.,1
USA,01,m,1998,1998,227,O,2016205,.,.,.,1
USA,01,f,1999,1999,229,O,1932563,.,.,.,1
USA,01,m,1999,1999,229,O,2026854,.,.,.,1
USA,01,f,2000,2000,235,O,1981845,.,.,.,1
USA,01,m,2000,2000,235,O,2076969,.,.,.,1
USA,01,f,2001,2001,237,O,1968011,.,.,.,1
USA,01,m,2001,2001,237,O,2057922,.,.,.,1
USA,01,f,2002,2002,239,O,1963747,.,.,.,1
USA,01,m,2002,2002,239,O,2057979,.,.,.,1
USA,01,f,2003,2003,241,O,1996415,.,.,.,1
USA,01,m,2003,2003,241,O,2093535,.,.,.,1
USA,01,f,2004,2004,243,O,2007391,.,.,.,1
USA,01,m,2004,2004,243,O,2104661,.,.,.,1
USA,01,f,2005,2005,245,O,2019367,.,.,.,1
USA,01,m,2005,2005,245,O,2118982,.,.,.,1
USA,01,f,2006,2006,247,O,2081318,.,.,.,1
USA,01,m,2006,2006,247,O,2184237,.,.,.,1
USA,01,f,2007,2007,249,O,2108162,.,.,.,1
USA,01,m,2007,2007,249,O,2208071,.,.,.,1
USA,01,f,2008,2008,251,O,2074305,.,.,.,1
USA,01,m,2008,2008,251,O,2173389,.,.,.,1
USA,01,f,2009,2009,255,O,2016809,.,.,.,1
USA,01,m,2009,2009,255,O,2113856,.,.,.,1
USA,01,f,2010,2010,259,O,1952451,.,.,.,1
USA,01,m,2010,2010,259,O,2046935,.,.,.,1
USA,01,f,2011,2011,263,O,1929538,.,.,.,1
USA,01,m,2011,2011,263,O,2024052,.,.,.,1
USA,01,f,2012,2012,265,O,1931407,.,.,.,1
USA,01,m,2012,2012,265,O,2021434,.,.,.,1
USA,01,f,2013,2013,269,O,1919227,.,.,.,1
USA,01,m,2013,2013,269,O,2012954,.,.,.,1
USA,01,f,2014,2014,275,O,1947375,.,.,.,1
USA,01,m,2014,2014,275,O,2040701,.,.,.,1
USA,01,f,2015,2015,282,O,1942336,.,.,.,1
USA,01,m,2015,2015,282,O,2036161,.,.,.,1
USA,01,f,2016,2016,284,O,1927692,.,.,.,1
USA,01,m,2016,2016,284,O,2018183,.,.,.,1
USA,01,f,2017,2017,291,O,1882615,.,.,.,1
USA,01,m,2017,2017,291,O,1972885,.,.,.,1
USA,01,f,2018,2018,295,O,1853533,.,.,.,1
USA,01,m,2018,2018,295,O,1938179,.,.,.,1
USA,01,f,2019,2019,300,O,1830094,.,.,.,1
USA,01,m,2019,2019,300,O,1917446,.,.,.,1
USA,01,f,2020,2020,304,O,1765555,.,.,.,1
USA,01,m,2020,2020,304,O,1848092,.,.,.,1
USA,01,f,2021,2021,307,O,1790876,.,.,.,1
USA,01,m,2021,2021,307,O,1873416,.,.,.,1
AUS,1,f,1860,1860,32,O,23262,10,8,.,1
AUS,1,m,1860,1860,32,O,24464,10,8,.,1
AUS,1,f,1861,1861,32,O,23806,10,8,.,1
AUS,1,m,1861,1861,32,O,25102,10,8,.,1
AUS,1,f,1862,1862,32,O,24896,10,8,.,1
AUS,1,m,1862,1862,32,O,26483,10,8,.,1
AUS,1,f,1863,1863,32,O,25134,10,8,.,1
AUS,1,m,1863,1863,32,O,26233,10,8,.,1
AUS,1,f,1864,1864,32,O,26838,10,8,.,1
AUS,1,m,1864,1864,32,O,28608,10,8,.,1
AUS,1,f,1865,1865,32,O,27986,10,8,.,1
AUS,1,m,1865,1865,32,O,29175,10,8,.,1
AUS,1,f,1866,1866,32,O,27457,10,8,.,1
AUS,1,m,1866,1866,32,O,28927,10,8,.,1
AUS,1,f,1867,1867,32,O,28922,10,8,.,1
AUS,1,m,1867,1867,32,O,30245,10,8,.,1
AUS,1,f,1868,1868,32,O,29896,10,8,.,1
AUS,1,m,1868,1868,32,O,31269,10,8,.,1
AUS,1,f,1869,1869,32,O,29527,10,8,.,1
AUS,1,m,1869,1869,32,O,30996,10,8,.,1
AUS,1,f,1870,1870,32,O,30437,10,8,.,1
AUS,1,m,1870,1870,32,O,32195,10,8,.,1
AUS,1,f,1871,1871,32,O,30921,10,8,.,1
AUS,1,m,1871,1871,32,O,32704,10,8,.,1
AUS,1,f,1872,1872,32,O,31589,10,8,.,1
AUS,1,m,1872,1872,32,O,32233,10,8,.,1
AUS,1,f,1873,1873,32,O,32561,10,8,.,1
AUS,1,m,1873,1873,32,O,33667,10,8,.,1
AUS,1,f,1874,1874,32,O,32809,10,8,.,1
AUS,1,m,1874,1874,32,O,34221,10,8,.,1
AUS,1,f,1875,1875,32,O,32970,10,8,.,1
AUS,1,m,1875,1875,32,O,34257,10,8,.,1
AUS,1,f,1876,1876,32,O,33903,10,8,.,1
AUS,1,m,1876,1876,32,O,35358,10,8,.,1
AUS,1,f,1877,1877,32,O,34041,10,8,.,1
AUS,1,m,1877,1877,32,O,35752,10,8,.,1
AUS,1,f,1878,1878,32,O,35321,10,8,.,1
AUS,1,m,1878,1878,32,O,37640,10,8,.,1
AUS,1,f,1879,1879,32,O,37203,10,8,.,1
AUS,1,m,1879,1879,32,O,38882,10,8,.,1
AUS,1,f,1880,1880,32,O,37757,10,8,.,1
AUS,1,m,1880,1880,32,O,39683,10,8,.,1
AUS,1,f,1881,1881,32,O,38884,10,8,.,1
AUS,1,m,1881,1881,32,O,41120,10,8,.,1
AUS,1,f,1882,1882,32,O,39600,10,8,.,1
AUS,1,m,1882,1882,32,O,41343,10,8,.,1
AUS,1,f,1883,1883,32,O,41533,10,8,.,1
AUS,1,m,1883,1883,32,O,43669,10,8,.,1
AUS,1,f,1884,1884,32,O,44392,10,8,.,1
AUS,1,m,1884,1884,32,O,46602,10,8,.,1
AUS,1,f,1885,1885,32,O,46210,10,8,.,1
AUS,1,m,1885,1885,32,O,48363,10,8,.,1
AUS,1,f,1886,1886,32,O,47227,10,8,.,1
AUS,1,m,1886,1886,32,O,49733,10,8,.,1
AUS,1,f,1887,1887,32,O,49309,10,8,.,1
AUS,1,m,1887,1887,32,O,51607,10,8,.,1
AUS,1,f,1888,1888,32,O,50888,10,8,.,1
AUS,1,m,1888,1888,32,O,53192,10,8,.,1
AUS,1,f,1889,1889,32,O,50678,10,8,.,1
AUS,1,m,1889,1889,32,O,54046,10,8,.,1
AUS,1,f,1890,1890,32,O,53384,10,8,.,1
AUS,1,m,1890,1890,32,O,55299,10,8,.,1
AUS,1,f,1891,1891,32,O,53758,10,8,.,1
AUS,1,m,1891,1891,32,O,56429,10,8,.,1
AUS,1,f,1892,1892,32,O,53699,10,8,.,1
AUS,1,m,1892,1892,32,O,56459,10,8,.,1
AUS,1,f,1893,1893,32,O,53125,10,8,.,1
AUS,1,m,1893,1893,32,O,56197,10,8,.,1
AUS,1,f,1894,1894,32,O,50957,10,8,.,1
AUS,1,m,1894,1894,32,O,53703,10,8,.,1
AUS,1,f,1895,1895,32,O,51184,10,8,.,1
AUS,1,m,1895,1895,32,O,53900,10,8,.,1
AUS,1,f,1896,1896,32,O,48979,10,8,.,1
AUS,1,m,1896,1896,32,O,51155,10,8,.,1
AUS,1,f,1897,1897,32,O,49440,10,8,.,1
AUS,1,m,1897,1897,32,O,51697,10,8,.,1
AUS,1,f,1898,1898,32,O,48041,10,8,.,1
AUS,1,m,1898,1898,32,O,50804,10,8,.,1
AUS,1,f,1899,1899,32,O,49209,10,8,.,1
AUS,1,m,1899,1899,32,O,51429,10,8,.,1
AUS,1,f,1900,1900,32,O,49881,10,8,.,1
AUS,1,m,1900,1900,32,O,52340,10,8,.,1
AUS,1,f,1901,1901,32,O,50436,10,8,.,1
AUS,1,m,1901,1901,32,O,52509,10,8,.,1
AUS,1,f,1902,1902,32,O,50160,10,8,.,1
AUS,1,m,1902,1902,32,O,52616,10,8,.,1
AUS,1,f,1903,1903,32,O,48037,10,8,.,1
AUS,1,m,1903,1903,32,O,50406,10,8,.,1
AUS,1,f,1904,1904,32,O,50755,10,8,.,1
AUS,1,m,1904,1904,32,O,53358,10,8,.,1
AUS,1,f,1905,1905,32,O,51046,10,8,.,1
AUS,1,m,1905,1905,32,O,53895,10,8,.,1
AUS,1,f,1906,1906,32,O,52376,10,8,.,1
AUS,1,m,1906,1906,32,O,55514,10,8,.,1
AUS,1,f,1907,1907,32,O,53858,10,8,.,1
AUS,1,m,1907,1907,32,O,56489,10,8,.,1
AUS,1,f,1908,1908,32,O,54432,10,8,.,1
AUS,1,m,1908,1908,32,O,57113,10,8,.,1
AUS,1,f,1909,1909,32,O,55589,10,8,.,1
AUS,1,m,1909,1909,32,O,58482,10,8,.,1
AUS,1,f,1910,1910,32,O,56595,10,8,.,1
AUS,1,m,1910,1910,32,O,60206,10,8,.,1
AUS,1,f,1911,1911,32,O,59685,10,8,.,1
AUS,1,m,1911,1911,32,O,62508,10,8,.,1
AUS,1,f,1912,1912,32,O,65066,10,8,.,1
AUS,1,m,1912,1912,32,O,68022,10,8,.,1
AUS,1,f,1913,1913,32,O,66280,10,8,.,1
AUS,1,m,1913,1913,32,O,69434,10,8,.,1
AUS,1,f,1914,1914,32,O,67379,10,8,.,1
AUS,1,m,1914,1914,32,O,70604,10,8,.,1
AUS,1,f,1915,1915,32,O,65822,10,8,.,1
AUS,1,m,1915,1915,32,O,69049,10,8,.,1
AUS,1,f,1916,1916,32,O,63921,10,8,.,1
AUS,1,m,1916,1916,32,O,67505,10,8,.,1
AUS,1,f,1917,1917,32,O,63082,10,8,.,1
AUS,1,m,1917,1917,32,O,66883,10,8,.,1
AUS,1,f,1918,1918,32,O,61281,10,8,.,1
AUS,1,m,1918,1918,32,O,64458,10,8,.,1
AUS,1,f,1919,1919,32,O,59359,10,8,.,1
AUS,1,m,1919,1919,32,O,62931,10,8,.,1
AUS,1,f,1920,1920,32,O,66150,10,8,.,1
AUS,1,m,1920,1920,32,O,70256,10,8,.,1
AUS,1,f,1921,1921,3,O,66159,.,.,.,1
AUS,1,m,1921,1921,3,O,70039,.,.,.,1
AUS,1,f,1922,1922,3,O,66914,.,.,.,1
AUS,1,m,1922,1922,3,O,70582,.,.,.,1
AUS,1,f,1923,1923,3,O,65857,.,.,.,1
AUS,1,m,1923,1923,3,O,69365,.,.,.,1
AUS,1,f,1924,1924,3,O,66127,.,.,.,1
AUS,1,m,1924,1924,3,O,68800,.,.,.,1
AUS,1,f,1925,1925,3,O,66250,.,.,.,1
AUS,1,m,1925,1925,3,O,69542,.,.,.,1
AUS,1,f,1926,1926,3,O,64740,.,.,.,1
AUS,1,m,1926,1926,3,O,68422,.,.,.,1
AUS,1,f,1927,1927,3,O,64818,.,.,.,1
AUS,1,m,1927,1927,3,O,68880,.,.,.,1
AUS,1,f,1928,1928,3,O,64926,.,.,.,1
AUS,1,m,1928,1928,3,O,69152,.,.,.,1
AUS,1,f,1929,1929,3,O,62857,.,.,.,1
AUS,1,m,1929,1929,3,O,66623,.,.,.,1
AUS,1,f,1930,1930,3,O,62516,.,.,.,1
AUS,1,m,1930,1930,3,O,65883,.,.,.,1
AUS,1,f,1931,1931,3,O,57488,.,.,.,1
AUS,1,m,1931,1931,3,O,61021,.,.,.,1
AUS,1,f,1932,1932,3,O,53958,.,.,.,1
AUS,1,m,1932,1932,3,O,56975,.,.,.,1
AUS,1,f,1933,1933,3,O,54109,.,.,.,1
AUS,1,m,1933,1933,3,O,57160,.,.,.,1
AUS,1,f,1934,1934,3,O,53627,.,.,.,1
AUS,1,m,1934,1934,3,O,55848,.,.,.,1
AUS,1,f,1935,1935,3,O,54433,.,.,.,1
AUS,1,m,1935,1935,3,O,56892,.,.,.,1
AUS,1,f,1936,1936,3,O,56679,.,.,.,1
AUS,1,m,1936,1936,3,O,59394,.,.,.,1
AUS,1,f,1937,1937,3,O,58226,.,.,.,1
AUS,1,m,1937,1937,3,O,60905,.,.,.,1
AUS,1,f,1938,1938,3,O,58523,.,.,.,1
AUS,1,m,1938,1938,3,O,61892,.,.,.,1
AUS,1,f,1939,1939,3,O,59838,.,.,.,1
AUS,1,m,1939,1939,3,O,63053,.,.,.,1
AUS,1,f,1940,1940,3,O,61752,.,.,.,1
AUS,1,m,1940,1940,3,O,64595,.,.,.,1
AUS,1,f,1941,1941,3,O,65564,.,.,.,1
AUS,1,m,1941,1941,3,O,68961,.,.,.,1
AUS,1,f,1942,1942,3,O,66481,.,.,.,1
AUS,1,m,1942,1942,3,O,70227,.,.,.,1
AUS,1,f,1943,1943,3,O,72942,.,.,.,1
AUS,1,m,1943,1943,3,O,76353,.,.,.,1
AUS,1,f,1944,1944,3,O,75002,.,.,.,1
AUS,1,m,1944,1944,3,O,78342,.,.,.,1
AUS,1,f,1945,1945,3,O,78103,.,.,.,1
AUS,1,m,1945,1945,3,O,82457,.,.,.,1
AUS,1,f,1946,1946,3,O,85411,.,.,.,1
AUS,1,m,1946,1946,3,O,90968,.,.,.,1
AUS,1,f,1947,1947,3,O,88566,.,.,.,1
AUS,1,m,1947,1947,3,O,93818,.,.,.,1
AUS,1,f,1948,1948,3,O,86665,.,.,.,1
AUS,1,m,1948,1948,3,O,91311,.,.,.,1
AUS,1,f,1949,1949,3,O,88515,.,.,.,1
AUS,1,m,1949,1949,3,O,92746,.,.,.,1
AUS,1,f,1950,1950,3,O,92761,.,.,.,1
AUS,1,m,1950,1950,3,O,97830,.,.,.,1
AUS,1,f,1951,1951,3,O,93897,.,.,.,1
AUS,1,m,1951,1951,3,O,99401,.,.,.,1
AUS,1,f,1952,1952,3,O,98269,.,.,.,1
AUS,1,m,1952,1952,3,O,103381,.,.,.,1
AUS,1,f,1953,1953,3,O,98736,.,.,.,1
